Temps,Accelerometre 1 x (en m/s2),Accelerometre 1 y (en m/s2),Accelerometre 1 z (en m/s2),Accelerometre 2 x (en m/s2),Accelerometre 2 y (en m/s2),Accelerometre 2 z (en m/s2),Accelerometre 3 x (en m/s2),Accelerometre 3 y (en m/s2),Accelerometre 3 z (en m/s2),Gyroscope 1 phi,Gyroscope 1 theta,Gyroscope 1 psi,Gyroscope 2 phi,Gyroscope 2 theta,Gyroscope 2 psi,Gyroscope 3 phi,Gyroscope 3 theta,Gyroscope 3 psi,
97.6,10.17029942767378,-2.6944924112301494,-8.626952478822043,10.154755381695281,-2.7094564772165355,-8.564543081707518,10.154174395412655,-2.7729036084642513,-8.644199827666014,3.023371828268139,-1.34474305879194,-2.0741113395700896,3.092475189839776,-1.3824316652464494,-2.184941446232213,3.0902393710736673,-1.3070153714795103,-2.0740857759015467,
97.62,10.166983565014442,-2.6989159845028245,-8.626621284098059,10.152441804550538,-2.7163992852538836,-8.559873833094592,10.156606129593916,-2.7723704846100676,-8.633710563005868,3.0420941012610943,-1.2526560040860062,-2.094584691624976,3.0074259436382214,-1.2779648373355237,-2.120487972788266,3.091327341320385,-1.2763774527044285,-2.082657388283738,
97.64,10.162303575602314,-2.7664040452507366,-8.60525600768893,10.145482027977899,-2.7769228510355215,-8.547256111227213,10.147679605262274,-2.8303962914358487,-8.61281171248906,3.088873785472048,-1.3192920121050231,-2.1034245965431944,3.060947217449694,-1.3737950872525935,-2.1779847923701854,3.0168161557713717,-1.2665766045620235,-2.05343131562936,
97.66,10.165781167249593,-2.7629746330641147,-8.603377359933289,10.148286359330562,-2.7795163449320257,-8.544564789811167,10.150988265900306,-2.844017915284572,-8.615867235100449,2.988592960203966,-1.3125960203777298,-2.162368530921237,3.043949714804985,-1.3022066585958092,-2.1103338484987506,3.075697429379962,-1.2905922102918004,-2.0839496511940494,
97.68,10.156029877062402,-2.8308919614086574,-8.583175562369412,10.147050606420832,-2.8466400588533505,-8.51982356804999,10.151681167414903,-2.9085383087429806,-8.600256227357987,3.0711806488874864,-1.344391726535679,-2.1101430331412847,3.0337300956287527,-1.3629692718688735,-2.1091921300736622,3.006905654854298,-1.3199432558552773,-2.116742953691938,
97.7,10.157762384462293,-2.827556280121733,-8.581355187579176,10.143055199676468,-2.8406610951393874,-8.520745394819098,10.137400264696268,-2.898061873073967,-8.587653106539976,3.057871037290675,-1.3488374556902205,-2.1185998692821966,3.025641855093743,-1.2576549435143756,-2.14452475534242,3.085312658009844,-1.310865364003727,-2.0506708126635935,
97.72,10.151466846473499,-2.9017647061191707,-8.555650008883955,10.132653766197341,-2.903585934375997,-8.487816657221716,10.1473536911152,-2.959782661300733,-8.566689855903432,3.0628873276355,-1.3492154585951697,-2.0553153742283072,3.077246644721395,-1.3171941887111074,-2.1366257965531394,3.0671814192494,-1.3002926290097534,-2.0962594652936297,
97.74,10.148216094120727,-2.9051714896700815,-8.551698333494409,10.141269992726091,-2.9093761353929164,-8.481763146812472,10.138678608859895,-2.970234691313432,-8.557206842686789,3.0613345253377107,-1.2626528579603753,-2.070781601371252,3.010185077341307,-1.347695069409827,-2.118262249761682,3.005303688597817,-1.2671548861157407,-2.095119178755059,
97.76,10.153308761456692,-2.9585863716741003,-8.518878515046021,10.128677625988342,-2.9688732923233827,-8.450349778967126,10.129040309732078,-3.0314688619777286,-8.533738235991175,3.080288344909633,-1.3512890458891593,-2.039930531505405,2.9872223675484952,-1.3233599588512304,-2.1100783255993916,3.0659296491209154,-1.3383607015751675,-2.1211462399637786,
97.78,10.147370408501938,-2.960437339576728,-8.52143016486408,10.128458681054585,-2.974898215929186,-8.45550027181898,10.13699309113371,-3.0278405960427013,-8.526412380420135,3.0452047904924493,-1.2432257607190262,-2.1265674425944634,3.025225081856093,-1.3701977478551353,-2.048859531628074,3.0093550232677533,-1.2668426277562104,-2.0389484482768796,
