Temps,Position en z,Acceleration en x avec g,Acceleration en y avec g,Acceleration en z avec g,Angle phi,Angle theta,Angle psi,
76.76,2630.8768109804846,2.070591560460787,-1.5432577711082083,-10.190537154676298,-1.9509964471883872,-1.551574139001166,-1.7985462371345442,
76.78,2629.501640953228,2.057262758099574,-1.565529857715274,-10.189980038762359,-1.9521610513600858,-1.55162080411137,-1.806963612264848,
76.8,2628.126561262799,2.042197515188422,-1.5871977919575688,-10.189429332486233,-1.953278421379078,-1.5516671992729971,-1.8154187537432052,
76.82,2626.751571888566,2.0256167942064587,-1.6082623671548926,-10.188899848847065,-1.9543493255303281,-1.5517132515765855,-1.823911110864054,
76.84,2625.376672811673,2.007765943646869,-1.6287435194313926,-10.188403845830031,-1.95537592881925,-1.5517589008001798,-1.8324389718068428,
76.86,2624.0018640149965,1.988901540869492,-1.648676796790127,-10.187950844299738,-1.9563615418759743,-1.551804099714698,-1.8409996691644341,
76.88,2622.627145483082,1.969279505377424,-1.6681096343754922,-10.18754757561586,-1.9573103544353583,-1.5518488140039797,-1.8495897989821843,
76.9,2621.2525172020346,1.9491448015067319,-1.6870976212416486,-10.18719804692013,-1.9582271656525685,-1.5518930218300382,-1.8582054431468966,
76.92,2619.877979159387,1.9287229429668056,-1.7057009197664403,-10.186903711478184,-1.9591171222686068,-1.5519367130835005,-1.8668423859477425,
76.94,2618.503531343939,1.9082134102137684,-1.7239809710024339,-10.18666371462957,-1.9599854740820941,-1.5519798883676985,-1.8754963168863277,
76.96,2617.129173745593,1.8877849991114284,-1.7419975892898154,-10.186475206559706,-1.96083735440903,-1.5520225577703965,-1.8841630132588638,
76.98,2615.7549063551746,1.8675730378609479,-1.7598065190345908,-10.186333692449137,-1.9616775913193107,-1.5520647394810312,-1.8928384975907102,
77.0,2614.3807291642506,1.84767834118158,-1.7774574970296877,-10.18623340360726,-1.9625105535213185,-1.5521064583118527,-1.9015191665911069,
77.02,2613.006642164944,1.828167716763883,-1.7949928361886818,-10.186167678143955,-1.9633400329085582,-1.5521477441803804,-1.910201889842451,
77.04,2611.6326453497704,1.8090757997118014,-1.8124465220353665,-10.186129327505324,-1.9641691640590273,-1.5521886306063721,-1.9188840778803096,
77.06,2610.258738711473,1.7904079656631935,-1.8298437922910575,-10.186110977612726,-1.9650003794471818,-1.5522291532711885,-1.927563720606567,
77.08,2608.8849222428803,1.7721440617478383,-1.847201153160559,-10.18610537860054,-1.9658353978332848,-1.5522693486802368,-1.9362393980708181,
77.1,2607.511195936768,1.7542426951662236,-1.8645267730695045,-10.186105675222018,-1.9666752422623346,-1.552309252961144,-1.9449102665302411,
77.12,2606.137559785763,1.7366458301991532,-1.8818211863326768,-10.18610562067992,-1.9675202833466787,-1.552348900821904,-1.9535760233449189,
77.14,2604.7640137822395,1.7192834646535848,-1.899078234739274,-10.186099748854712,-1.9683703030199338,-1.5523883246844872,-1.9622368546852191,
77.16,2603.3905579182588,1.7020781831941678,-1.9162861743827067,-10.186083488958316,-1.9692245737213923,-1.5524275540013792,-1.9708933702307114,
77.18,2602.017192185509,1.684949416764477,-1.9334288775715158,-10.18605323626639,-1.9700819479757956,-1.552466614754898,-1.9795465290472058,
77.2,2600.6439165752813,1.6678172715748127,-1.9504870649041317,-10.186006373468489,-1.97094095354258,-1.5525055291327772,-1.9881975606632114,
77.22,2599.270731078447,1.6506058267309482,-1.9674395099460076,-10.185941251417892,-1.9717998896867253,-1.5525443153677216,-1.9968478850607239,
77.24,2597.8976356854587,1.633245834633041,-1.9842641678167146,-10.185857132219184,-1.972656920632215,-1.5525829877246817,-2.0054990348770554,
77.26,2596.524630386362,1.615676791411127,-2.000939188831838,-10.185754107899454,-1.9735101628617564,-1.5526215566161765,-2.014152582617486,
77.28,2595.151715170823,1.5978483748370957,-2.0174437885054997,-10.185632993743397,-1.9743577635860334,-1.552660028824286,-2.0228100751321825,
77.3,2593.778890028153,1.579721273443008,-2.0337589552974107,-10.185495207291217,-1.9751979683887408,-1.55269840780692,-2.0314729770436952,
77.32,2592.406154947348,1.5612674525530241,-2.0498679870503116,-10.1853426367982,-1.976029176729793,-1.5527366940660094,-2.0401426242485843,
77.34,2591.0335099171384,1.5424699200609076,-2.065756855740368,-10.185177512346085,-1.9768499846326504,-1.5527748855562957,-2.0488201880799823,
77.36,2589.660954926024,1.5233220670786969,-2.081414407572957,-10.185002276287642,-1.9776592144712377,-1.5528129781147626,-2.0575066502250405,
77.38,2588.2884899623255,1.5038266662365205,-2.0968324118178563,-10.184819460956959,-1.9784559322908517,-1.5528509658929548,-2.0662027880558393,
77.4,2586.9161150142263,1.4839946137445872,-2.1120054764247094,-10.184631584680833,-1.9792394535349822,-1.552888841776945,-2.0749091696647493,
77.42,2585.5438300698206,1.4638435003679666,-2.1269308518911276,-10.184441052100553,-1.9800093383980484,-1.5529265977821576,-2.083626157600712,
77.44,2584.1716351171453,1.4433960926435394,-2.1416081468158708,-10.18425007998613,-1.9807653782808239,-1.55296422541332,-2.092353920085011,
77.46,2582.7995301442215,1.422678798515437,-2.156038979293091,-10.184060636205329,-1.98150757499176,-1.5530017159824188,-2.1010924483416544,
77.48,2581.4275151390843,1.4017201826194468,-2.1702265877987754,-10.183874396985612,-1.982236114417986,-1.5530390608802358,-2.1098415786062445,
77.5,2580.05559008981,1.3805495858885362,-2.18417542386764,-10.183692718952768,-1.982951336392175,-1.5530762517994396,-2.1186010173712644,
77.52,2578.6837549845377,1.359195892766123,-2.1978907466604967,-10.183516631486707,-1.9836537024148961,-1.5531132809093928,-2.127370368477822,
77.54,2577.3120098114873,1.3376864775800519,-2.2113782367469583,-10.183346839612772,-1.9843437627679845,-1.5531501409846864,-2.136149160764491,
77.56,2575.9403545589735,1.316046350180978,-2.2246436432623073,-10.18318374018156,-1.9850221243848785,-1.5531868254908743,-2.144936875123383,
77.58,2574.568789215414,1.294297510203933,-2.2376924753661447,-10.183027447472503,-1.985689420640961,-1.5532233286318504,-2.1537329699814567,
77.6,2573.197313769335,1.2724585094662237,-2.250529745398931,-10.182877824609701,-1.9863462840033694,-1.5532596453643888,-2.162536904410836,
77.62,2571.8259282093754,1.2505442136391673,-2.263159768110161,-10.182734526817681,-1.9869933222468683,-1.5532957713853486,-2.171348158266376,
77.64,2570.454632524282,1.2285657471454996,-2.2755860171103794,-10.18259703739756,-1.9876310987106791,-1.553331703097469,-2.1801662489426525,
77.66,2569.0834267029104,1.2065305999933877,-2.287811037324089,-10.182464713802126,-1.988260116850016,-1.5533674375593216,-2.1889907445279815,
77.68,2567.7123107342204,1.1844428712051687,-2.2998364097144353,-10.182336828409088,-1.9888808091331038,-1.5534029724246414,-2.1978212733042475,
77.7,2566.3412846072715,1.1623036212481377,-2.311662762995898,-10.18221260818341,-1.9894935301553132,-1.5534383058757057,-2.2066575296923094,
77.72,2564.97034831121,1.1401113049739067,-2.3232898256041725,-10.18209127035588,-1.9900985536913502,-1.5534734365547587,-2.2154992768706205,
77.74,2563.599501835268,1.1178622568706331,-2.3347165104096157,-10.181972051863896,-1.9906960732862344,-1.553508363496674,-2.224346346396631,
77.76,2562.228745168753,1.095551202083632,-2.3459410242291217,-10.181854240318804,-1.9912862058974548,-1.5535430860653996,-2.2331986352365565,
77.78,2560.858078301045,1.0731717687729612,-2.3569609941578804,-10.181737188923913,-1.9918689980433164,-1.5535776038957885,-2.2420561006584085,
77.8,2559.4875012215784,1.0507169807396843,-2.367773603148847,-10.181620335402704,-1.9924444338846539,-1.5536119168421523,-2.250918753468213,
77.82,2558.117013919844,1.0281797125661936,-2.37837572775741,-10.181503213089579,-1.9930124446659852,-1.5536460249336357,-2.2597866500713892,
77.84,2556.746616385383,1.005553093382927,-2.3887640719448924,-10.181385451163369,-1.9935729189642213,-1.5536799283366893,-2.2686598838241965,
77.86,2555.3763086077734,0.9828308493365393,-2.3989352917068705,-10.181266778539984,-1.9941257132346244,-1.553713627324023,-2.2775385761061737,
77.88,2554.006090576628,0.9600075785091672,-2.408886106455444,-10.181147019625882,-1.9946706622001,-1.5537471222493293,-2.2864228674979414,
77.9,2552.6359622815908,0.9370789556418185,-2.4186133941371084,-10.181026087405664,-1.9952075886973708,-1.553780413526973,-2.2953129093928424,
77.92,2551.2659237123316,0.9140418672213144,-2.4281142682059187,-10.18090397198615,-1.995736312667393,-1.5538135016155221,-2.304208856309413,
77.94,2549.895974858539,0.8908944803036366,-2.4373861355745965,-10.180780734443685,-1.9962566590540252,-1.5538463870042152,-2.3131108591075256,
77.96,2548.526115709917,0.867636250585405,-2.446426735597551,-10.180656490998766,-1.996768464450842,-1.5538790702013696,-2.3220190592474075,
77.98,2547.1563462561867,0.844267877167463,-2.4552341609476716,-10.180531399187467,-1.9972715824080023,-1.5539115517240678,-2.330933584170228,
78.0,2545.786666487077,0.820791212598089,-2.4638068619219062,-10.180405650290146,-1.9977658873768205,-1.553943832088284,-2.3398545438237037,
78.02,2544.4170763923257,0.7972091374659331,-2.4721436361489766,-10.180279453769124,-1.9982512773276129,-1.5539759117991707,-2.348782028306881,
78.04,2543.0475759616747,0.773525409144883,-2.4802436061125173,-10.180153025133656,-1.9987276751246252,-1.5540077913411228,-2.357716106567645,
78.06,2541.678165184872,0.7497444941299988,-2.4881061870645005,-10.180026581237756,-1.9991950287801803,-1.554039471167579,-2.3666568260535974,
78.08,2540.308844051667,0.7258713927645456,-2.4957310479085004,-10.179900328471476,-1.999653310738221,-1.5540709516905882,-2.3756042131930477,
78.1,2538.9396125518083,0.7019114644281258,-2.503118067708525,-10.179774455241507,-2.0001025163553865,-1.5541022332703824,-2.3845582745670146,
78.12,2537.5704706750503,0.6778702602666445,-2.5102672901820995,-10.179649131584338,-2.000542661756417,-1.5541333162051416,-2.393518998625327,
78.14,2536.2014184111404,0.6537533691415621,-2.517178878371239,-10.179524500071054,-2.0009737812406874,-1.5541642007215304,-2.402486357799502,
78.16,2534.83245574983,0.6295662814790042,-2.5238530714111116,-10.179400679835974,-2.0013959244096595,-1.5541948869661624,-2.411460310869955,
78.18,2533.463582680864,0.6053142741391478,-2.5302901448500736,-10.179277762390743,-2.001809153171799,-1.5542253749984956,-2.4204408054562037,
78.2,2532.094799193996,0.5810023183331392,-2.5364903757663035,-10.17915581102058,-2.0022135387638267,-1.554255664785561,-2.4294277805125675,
78.22,2530.7261052789704,0.5566350114258893,-2.5424540134791798,-10.179034867051737,-2.0026091589061594,-1.5542857561987207,-2.438421168729594,
78.24,2529.357500925535,0.5322165322685678,-2.548181256299895,-10.178914948650089,-2.0029960951876022,-1.554315649012676,-2.4474208987595354,
78.26,2527.9889861234374,0.5077506189463514,-2.553672234488344,-10.178796054674146,-2.003374430750853,-1.5543453429069898,-2.4564268972042913,
78.28,2526.620560862432,0.4832405669772632,-2.5589269993062373,-10.17867816791172,-2.0037442483271595,-1.5543748374699133,-2.4654390903228647,
78.3,2525.252225132269,0.45868924546909934,-2.5639455177287913,-10.178561258462008,-2.0041056286468484,-1.5544041322046163,-2.474457405433892,
78.32,2523.8839789227063,0.43409912831080416,-2.568727672339639,-10.17844528711276,-2.004458649232771,-1.5544332265375589,-2.4834817720046747,
78.34,2522.5158222235077,0.40947233723945464,-2.573273265623511,-10.17833020829522,-2.0048033835663706,-1.5544621198287911,-2.4925121224330575,
78.36,2521.147755024441,0.38481069358527675,-2.5775820279494663,-10.178215973150126,-2.005139900602176,-1.554490811383753,-2.5015483925399487,
78.38,2519.779777315282,0.36011577551236923,-2.581653628320094,-10.178102534105617,-2.0054682645953856,-1.5545193004662519,-2.510590521799798,
78.4,2518.4118890858144,0.3353889777474954,-2.585487687116201,-10.177989842514036,-2.0057885351993368,-1.5545475863121552,-2.519638453343051,
